Logging Position	(0.1, 0.6, 2.1)	 Orientation:	(9.4, 11.1, 1.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-1.7, 0.2, 1.9)	 Orientation:	(9.9, 3.6, 0.6)	 UserID:		Time:	No time Logged 2
Logging Position	(-1.0, 0.5, 2.3)	 Orientation:	(5.4, 43.2, 5.1)	 UserID:		Time:	No time Logged 1
Logging Position	(-2.7, 0.2, 2.2)	 Orientation:	(4.8, 31.6, 2.9)	 UserID:		Time:	No time Logged 2
Logging Position	(0.9, 0.5, 2.8)	 Orientation:	(10.3, 342.6, 356.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-0.8, 0.2, 2.3)	 Orientation:	(7.2, 336.3, 356.9)	 UserID:		Time:	No time Logged 2
Logging Position	(0.1, 0.5, 2.1)	 Orientation:	(8.1, 6.4, 0.9)	 UserID:		Time:	No time Logged 1
Logging Position	(0.1, 0.6, 2.1)	 Orientation:	(7.3, 351.3, 359.7)	 UserID:		Time:	No time Logged 2
Logging Position	(-1.0, 0.5, 2.4)	 Orientation:	(3.9, 51.2, 4.8)	 UserID:		Time:	No time Logged 1
Logging Position	(-0.9, 0.5, 2.6)	 Orientation:	(3.0, 31.7, 2.7)	 UserID:		Time:	No time Logged 2
Logging Position	(0.9, 0.5, 2.8)	 Orientation:	(9.7, 343.1, 357.1)	 UserID:		Time:	No time Logged 1
Logging Position	(1.0, 0.5, 2.5)	 Orientation:	(3.8, 328.6, 358.0)	 UserID:		Time:	No time Logged 2
Tracking Begun: 	-0.2082391	2.094364	 UserID:	SubUser 1 3	Time:	230.1438
Tracking Begun: 	0.1139011	2.535022	 UserID:	SubUser 1 1	Time:	239.9318
Tracking Continued: 	0.08746316	2.533768	 UserID:	SubUser 1 3	Time:	240.0476
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	240.7299
Tracking Begun: 	0.8226225	2.391942	 UserID:	SubUser 1 0	Time:	241.7224
Tracking Continued: 	0.700883	2.775945	 UserID:	SubUser 1 0	Time:	250.0005
Tracking Continued: 	-0.04433948	2.494685	 UserID:	SubUser 1 1	Time:	250.0005
Tracking Continued: 	0.7274346	2.697498	 UserID:	SubUser 1 0	Time:	260.0365
Tracking Continued: 	-0.3352234	2.304046	 UserID:	SubUser 1 1	Time:	260.0365
Tracking Continued: 	0.8743969	1.9153	 UserID:	SubUser 1 0	Time:	270.0333
Tracking Continued: 	-0.6852533	2.178544	 UserID:	SubUser 1 1	Time:	270.0333
Tracking Lost: 	0	0	 UserID:	SubUser 1 0	Time:	271.744
Tracking Begun: 	0.4374982	1.06932	 UserID:	SubUser 1 3	Time:	273.3025
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	279.9739
Tracking Continued: 	0.5058744	1.546659	 UserID:	SubUser 1 1	Time:	280.0085
Tracking Begun: 	0.01618671	1.97258	 UserID:	SubUser 1 2	Time:	280.2062
Tracking Lost: 	0	0	 UserID:	SubUser 1 1	Time:	286.3463
Tracking Lost: 	0	0	 UserID:	SubUser 1 2	Time:	286.8739
Tracking Begun: 	0.8940616	2.346225	 UserID:	SubUser 1 3	Time:	288.2678
Tracking Begun: 	-0.1912845	2.438187	 UserID:	SubUser 1 2	Time:	291.3044
Tracking Begun: 	0.8378721	1.866114	 UserID:	SubUser 1 0	Time:	294.8114
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	296.7899
Tracking Continued: 	0.6327826	1.286463	 UserID:	SubUser 1 0	Time:	300.043
Tracking Continued: 	-0.4271037	2.258951	 UserID:	SubUser 1 2	Time:	300.043
Tracking Begun: 	0.7801057	2.299975	 UserID:	SubUser 1 3	Time:	301.5378
Tracking Lost: 	0	0	 UserID:	SubUser 1 2	Time:	303.5371
Tracking Lost: 	0	0	 UserID:	SubUser 1 3	Time:	305.9405
Tracking Lost: 	0	0	 UserID:	SubUser 1 0	Time:	306.9489
Tracking Begun: 	1.332061	2.676173	 UserID:	SubUser 1 5	Time:	307.0487
Tracking Begun: 	0.7618432	2.233241	 UserID:	SubUser 1 3	Time:	307.7738
Tracking Begun: 	-0.3268275	2.472526	 UserID:	SubUser 1 4	Time:	307.9533
Tracking Lost: 	0	0	 UserID:	SubUser 1 5	Time:	309.3473
